"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Bid,"Bid Type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (NGN)",Ends,Starts
2021-08-01,2021-08-10,"Post: ""We sell original Ankara material""",completed,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click",,,0,0,,0,2021-07-13,2021-07-11
2021-07-11,2021-07-31,"Post: ""We sell original Ankara material""",completed,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click",24,actions:onsite_conversion.messaging_conversation_started_7d,3398,3818,29.459583333333,707.03,2021-07-13,2021-07-11
